ngram_decoded,count,p_ngram,pmi,entropy_reduction,internal_entropy,frequency_norm,pmi_norm,entropy_reduction_norm,internal_entropy_norm,composite_score
282 21 264 283 71 22 270,3923,0.000032988677752661925,26.231937520799768,4.135751331888978,0.9915713314920844,0.1625367589112182,0.38769888022247995,0.8066103117375839,0.24943540610264137,0.457287829806975
286 21 39 263 51 13,14170,0.00011915614676401211,14.007667394066651,4.205774539422716,0.9215481239583465,0.2938204806045356,0.24668002796774277,0.8202671872905579,0.2318206701244392,0.4569917432134307
307 263 51 13 39,30775,0.000258788314513936,12.179774508748181,3.7236836497582084,1.403639013622854,0.37310320385831647,0.22559350467761177,0.7262432841124796,0.3530933743895988,0.45682333273178977
51 33 39 12 302 21,10119,0.00008509111144001683,17.277576526550405,4.136232819470266,0.9910898439107958,0.25940028965665335,0.2844016120017643,0.8067042179753807,0.24931428516402832,0.4556940944805919
369,61934,0.000520805701741872,0.0,4.223954425382025,0.903368237999038,0.4445955118342642,0.08508795267831301,0.8238128751968697,0.22724741644803836,0.45484248491425444
313 263 51 13,56154,0.0004722014301613505,11.105724859161137,3.252476596077546,1.8748460673035166,0.43458044939486573,0.21320329673234237,0.6343420942291149,0.47162818783201776,0.45470989768679493
267 21,636052,0.005348588952825931,3.209617535965273,1.9531455338666075,3.174177129514455,0.682697623675527,0.12211401447227473,0.38092892959825214,0.7984823039919393,0.45430038049512955
282 21 264 283 71 22 261,7482,0.00006291646366184464,25.06116133166775,3.583122120586889,1.5442005427941736,0.22853725098077937,0.3741928375117979,0.6988290684682801,0.3884524262275515,0.45354056002117504
313 263 51 13 39,16161,0.00013589855242436132,12.524355315651022,4.103081284205782,1.02424137917528,0.30726031405255877,0.2295685796223468,0.8002385559835482,0.2576537423457719,0.452938779364834
279 63 39,33692,0.00028331749447939986,3.894924821065701,4.296166807255573,0.8311558561254896,0.3823604119673229,0.13001970092919687,0.8378967132180817,0.20908198121791408,0.45272117503314563
282 21 264 12 39 263 51 13,14131,0.00011882819406649648,23.19761530027167,3.188685261344268,1.9386374020367945,0.2935387412549772,0.35269502048494394,0.621900643023231,0.48767526077540463,0.45237495460942184
